orientation,row,col,pin_num_in_cell,port_name,mapped_pin,GPIO_type,Associated Clock,Clock Edge
TOP,,,,gfpga_pad_IO_A2F[0],pad_fpga_io[18],,,
TOP,,,,gfpga_pad_IO_F2A[0],pad_fpga_io[18],,,
TOP,,,,gfpga_pad_IO_A2F[6],pad_fpga_io[19],,,
TOP,,,,gfpga_pad_IO_F2A[6],pad_fpga_io[19],,,
TOP,,,,gfpga_pad_IO_A2F[8],pad_fpga_io[20],,,
TOP,,,,gfpga_pad_IO_F2A[8],pad_fpga_io[20],,,
TOP,,,,gfpga_pad_IO_A2F[12],pad_fpga_io[21],,,
TOP,,,,gfpga_pad_IO_F2A[12],pad_fpga_io[21],,,
TOP,,,,gfpga_pad_IO_A2F[16],pad_fpga_io[22],,,
TOP,,,,gfpga_pad_IO_F2A[16],pad_fpga_io[22],,,
TOP,,,,gfpga_pad_IO_A2F[20],pad_fpga_io[23],,,
TOP,,,,gfpga_pad_IO_F2A[20],pad_fpga_io[23],,,
TOP,,,,gfpga_pad_IO_A2F[24],pad_fpga_io[24],,,
TOP,,,,gfpga_pad_IO_F2A[24],pad_fpga_io[24],,,
TOP,,,,gfpga_pad_IO_F2A[28],pad_fpga_io[25],,,
TOP,,,,gfpga_pad_IO_A2F[28],pad_fpga_io[25],,,
TOP,,,,gfpga_pad_IO_F2A[32],pad_fpga_io[26],,,
TOP,,,,gfpga_pad_IO_A2F[32],pad_fpga_io[26],,,
TOP,,,,gfpga_pad_IO_F2A[36],pad_fpga_io[27],,,
TOP,,,,gfpga_pad_IO_A2F[36],pad_fpga_io[27],,,
TOP,,,,gfpga_pad_IO_F2A[40],pad_fpga_io[28],,,
TOP,,,,gfpga_pad_IO_A2F[40],pad_fpga_io[28],,,
TOP,,,,gfpga_pad_IO_F2A[44],pad_fpga_io[29],,,
TOP,,,,gfpga_pad_IO_A2F[44],pad_fpga_io[29],,,
TOP,,,,gfpga_pad_IO_F2A[48],pad_fpga_io[30],,,
TOP,,,,gfpga_pad_IO_A2F[48],pad_fpga_io[30],,,
TOP,,,,gfpga_pad_IO_A2F[52],pad_fpga_io[31],,,
TOP,,,,gfpga_pad_IO_F2A[52],pad_fpga_io[31],,,
TOP,,,,gfpga_pad_IO_A2F[56],pad_fpga_io[32],,,
TOP,,,,gfpga_pad_IO_F2A[56],pad_fpga_io[32],,,
TOP,,,,gfpga_pad_IO_A2F[60],pad_fpga_io[33],,,
TOP,,,,gfpga_pad_IO_F2A[60],pad_fpga_io[33],,,
TOP,,,,gfpga_pad_IO_A2F[64],pad_fpga_io[34],,,
TOP,,,,gfpga_pad_IO_F2A[64],pad_fpga_io[34],,,
TOP,,,,gfpga_pad_IO_A2F[68],pad_fpga_io[35],,,
TOP,,,,gfpga_pad_IO_F2A[68],pad_fpga_io[35],,,
TOP,,,,gfpga_pad_IO_A2F[72],pad_fpga_io[36],,,
TOP,,,,gfpga_pad_IO_F2A[72],pad_fpga_io[36],,,
TOP,,,,gfpga_pad_IO_A2F[76],pad_fpga_io[37],,,
TOP,,,,gfpga_pad_IO_F2A[76],pad_fpga_io[37],,,
RIGHT,,,,gfpga_pad_IO_A2F[80],pad_fpga_io[38],,,
RIGHT,,,,gfpga_pad_IO_F2A[80],pad_fpga_io[38],,,
