orientation,row,col,pin_num_in_cell,port_name,mapped_pin,GPIO_type,Associated Clock,Clock Edge
TOP,7,1,0,gfpga_pad_pinput_A2F[0],TOP_0_IN[0],in,clk,rising
TOP,7,1,1,gfpga_pad_pinput_A2F[1],TOP_0_IN[1],in,clk,rising
TOP,7,1,2,gfpga_pad_pinput_A2F[2],TOP_0_IN[2],in,clk,rising
TOP,7,1,3,gfpga_pad_pinput_A2F[3],TOP_0_IN[3],in,clk,rising
TOP,7,1,4,gfpga_pad_pinput_A2F[4],TOP_0_IN[4],in,clk,rising
TOP,7,1,5,gfpga_pad_pinput_A2F[5],TOP_0_IN[5],in,clk,rising
TOP,7,1,6,gfpga_pad_poutput_F2A[0],TOP_0_OUT[0],out,clk,rising
TOP,7,1,7,gfpga_pad_poutput_F2A[1],TOP_0_OUT[1],out,clk,rising
TOP,7,1,8,gfpga_pad_poutput_F2A[2],TOP_0_OUT[2],out,clk,rising
TOP,7,1,9,gfpga_pad_poutput_F2A[3],TOP_0_OUT[3],out,clk,rising
TOP,7,1,10,gfpga_pad_poutput_F2A[4],TOP_0_OUT[4],out,clk,rising
TOP,7,1,11,gfpga_pad_poutput_F2A[5],TOP_0_OUT[5],out,clk,rising
TOP,7,2,0,gfpga_pad_pinput_A2F[6],TOP_1_IN[0],in,clk,rising
TOP,7,2,1,gfpga_pad_pinput_A2F[7],TOP_1_IN[1],in,clk,rising
TOP,7,2,2,gfpga_pad_pinput_A2F[8],TOP_1_IN[2],in,clk,rising
TOP,7,2,3,gfpga_pad_pinput_A2F[9],TOP_1_IN[3],in,clk,rising
TOP,7,2,4,gfpga_pad_pinput_A2F[10],TOP_1_IN[4],in,clk,rising
TOP,7,2,5,gfpga_pad_pinput_A2F[11],TOP_1_IN[5],in,clk,rising
TOP,7,2,6,gfpga_pad_poutput_F2A[6],TOP_1_OUT[0],out,clk,rising
TOP,7,2,7,gfpga_pad_poutput_F2A[7],TOP_1_OUT[1],out,clk,rising
TOP,7,2,8,gfpga_pad_poutput_F2A[8],TOP_1_OUT[2],out,clk,rising
TOP,7,2,9,gfpga_pad_poutput_F2A[9],TOP_1_OUT[3],out,clk,rising
TOP,7,2,10,gfpga_pad_poutput_F2A[10],TOP_1_OUT[4],out,clk,rising
TOP,7,2,11,gfpga_pad_poutput_F2A[11],TOP_1_OUT[5],out,clk,rising
TOP,7,3,0,gfpga_pad_pinput_A2F[12],TOP_2_IN[0],in,clk,rising
TOP,7,3,1,gfpga_pad_pinput_A2F[13],TOP_2_IN[1],in,clk,rising
TOP,7,3,2,gfpga_pad_pinput_A2F[14],TOP_2_IN[2],in,clk,rising
TOP,7,3,3,gfpga_pad_pinput_A2F[15],TOP_2_IN[3],in,clk,rising
TOP,7,3,4,gfpga_pad_pinput_A2F[16],TOP_2_IN[4],in,clk,rising
TOP,7,3,5,gfpga_pad_pinput_A2F[17],TOP_2_IN[5],in,clk,rising
TOP,7,3,6,gfpga_pad_poutput_F2A[12],TOP_2_OUT[0],out,clk,rising
TOP,7,3,7,gfpga_pad_poutput_F2A[13],TOP_2_OUT[1],out,clk,rising
TOP,7,3,8,gfpga_pad_poutput_F2A[14],TOP_2_OUT[2],out,clk,rising
TOP,7,3,9,gfpga_pad_poutput_F2A[15],TOP_2_OUT[3],out,clk,rising
TOP,7,3,10,gfpga_pad_poutput_F2A[16],TOP_2_OUT[4],out,clk,rising
TOP,7,3,11,gfpga_pad_poutput_F2A[17],TOP_2_OUT[5],out,clk,rising
TOP,7,4,0,gfpga_pad_pinput_A2F[18],TOP_3_IN[0],in,clk,rising
TOP,7,4,1,gfpga_pad_pinput_A2F[19],TOP_3_IN[1],in,clk,rising
TOP,7,4,2,gfpga_pad_pinput_A2F[20],TOP_3_IN[2],in,clk,rising
TOP,7,4,3,gfpga_pad_pinput_A2F[21],TOP_3_IN[3],in,clk,rising
TOP,7,4,4,gfpga_pad_pinput_A2F[22],TOP_3_IN[4],in,clk,rising
TOP,7,4,5,gfpga_pad_pinput_A2F[23],TOP_3_IN[5],in,clk,rising
TOP,7,4,6,gfpga_pad_poutput_F2A[18],TOP_3_OUT[0],out,clk,rising
TOP,7,4,7,gfpga_pad_poutput_F2A[19],TOP_3_OUT[1],out,clk,rising
TOP,7,4,8,gfpga_pad_poutput_F2A[20],TOP_3_OUT[2],out,clk,rising
TOP,7,4,9,gfpga_pad_poutput_F2A[21],TOP_3_OUT[3],out,clk,rising
TOP,7,4,10,gfpga_pad_poutput_F2A[22],TOP_3_OUT[4],out,clk,rising
TOP,7,4,11,gfpga_pad_poutput_F2A[23],TOP_3_OUT[5],out,clk,rising
TOP,7,5,0,gfpga_pad_pinput_A2F[24],TOP_4_IN[0],in,clk,rising
TOP,7,5,1,gfpga_pad_pinput_A2F[25],TOP_4_IN[1],in,clk,rising
TOP,7,5,2,gfpga_pad_pinput_A2F[26],TOP_4_IN[2],in,clk,rising
TOP,7,5,3,gfpga_pad_pinput_A2F[27],TOP_4_IN[3],in,clk,rising
TOP,7,5,4,gfpga_pad_pinput_A2F[28],TOP_4_IN[4],in,clk,rising
TOP,7,5,5,gfpga_pad_pinput_A2F[29],TOP_4_IN[5],in,clk,rising
TOP,7,5,6,gfpga_pad_poutput_F2A[24],TOP_4_OUT[0],out,clk,rising
TOP,7,5,7,gfpga_pad_poutput_F2A[25],TOP_4_OUT[1],out,clk,rising
TOP,7,5,8,gfpga_pad_poutput_F2A[26],TOP_4_OUT[2],out,clk,rising
TOP,7,5,9,gfpga_pad_poutput_F2A[27],TOP_4_OUT[3],out,clk,rising
TOP,7,5,10,gfpga_pad_poutput_F2A[28],TOP_4_OUT[4],out,clk,rising
TOP,7,5,11,gfpga_pad_poutput_F2A[29],TOP_4_OUT[5],out,clk,rising
RIGHT,1,6,0,gfpga_pad_pinput_A2F[60],RIGHT_0_IN[0],in,clk,rising
RIGHT,1,6,1,gfpga_pad_pinput_A2F[61],RIGHT_0_IN[1],in,clk,rising
RIGHT,1,6,2,gfpga_pad_pinput_A2F[62],RIGHT_0_IN[2],in,clk,rising
RIGHT,1,6,3,gfpga_pad_pinput_A2F[63],RIGHT_0_IN[3],in,clk,rising
RIGHT,1,6,4,gfpga_pad_pinput_A2F[64],RIGHT_0_IN[4],in,clk,rising
RIGHT,1,6,5,gfpga_pad_pinput_A2F[65],RIGHT_0_IN[5],in,clk,rising
RIGHT,1,6,6,gfpga_pad_poutput_F2A[60],RIGHT_0_OUT[0],out,clk,rising
RIGHT,1,6,7,gfpga_pad_poutput_F2A[61],RIGHT_0_OUT[1],out,clk,rising
RIGHT,1,6,8,gfpga_pad_poutput_F2A[62],RIGHT_0_OUT[2],out,clk,rising
RIGHT,1,6,9,gfpga_pad_poutput_F2A[63],RIGHT_0_OUT[3],out,clk,rising
RIGHT,1,6,10,gfpga_pad_poutput_F2A[64],RIGHT_0_OUT[4],out,clk,rising
RIGHT,1,6,11,gfpga_pad_poutput_F2A[65],RIGHT_0_OUT[5],out,clk,rising
RIGHT,2,6,0,gfpga_pad_pinput_A2F[54],RIGHT_1_IN[0],in,clk,rising
RIGHT,2,6,1,gfpga_pad_pinput_A2F[55],RIGHT_1_IN[1],in,clk,rising
RIGHT,2,6,2,gfpga_pad_pinput_A2F[56],RIGHT_1_IN[2],in,clk,rising
RIGHT,2,6,3,gfpga_pad_pinput_A2F[57],RIGHT_1_IN[3],in,clk,rising
RIGHT,2,6,4,gfpga_pad_pinput_A2F[58],RIGHT_1_IN[4],in,clk,rising
RIGHT,2,6,5,gfpga_pad_pinput_A2F[59],RIGHT_1_IN[5],in,clk,rising
RIGHT,2,6,6,gfpga_pad_poutput_F2A[54],RIGHT_1_OUT[0],out,clk,rising
RIGHT,2,6,7,gfpga_pad_poutput_F2A[55],RIGHT_1_OUT[1],out,clk,rising
