orientation,row,col,pin_num_in_cell,port_name,mapped_pin,GPIO_type,Associated Clock,Clock Edge
LEFT,,,,gfpga_pad_GPOUT_PAD[21],pad_fpga_o[21],out,,
LEFT,,,,gfpga_pad_GPOUT_PAD[22],pad_fpga_o[22],out,,
LEFT,,,,gfpga_pad_GPOUT_PAD[23],pad_fpga_o[23],out,,
LEFT,,,,gfpga_pad_GPOUT_PAD[24],pad_fpga_o[24],out,,
LEFT,,,,gfpga_pad_GPOUT_PAD[25],pad_fpga_o[25],out,,
LEFT,,,,gfpga_pad_GPOUT_PAD[26],pad_fpga_o[26],out,,
LEFT,,,,gfpga_pad_GPOUT_PAD[27],pad_fpga_o[27],out,,
LEFT,,,,gfpga_pad_GPOUT_EMODE_PAD[3],pad_fpga_eo[3],out,,
LEFT,,,,gfpga_pad_GPIN_PAD[21],pad_fpga_i[21],in,,
LEFT,,,,gfpga_pad_GPIN_PAD[22],pad_fpga_i[22],in,,
LEFT,,,,gfpga_pad_GPIN_PAD[23],pad_fpga_i[23],in,,
LEFT,,,,gfpga_pad_GPIN_PAD[24],pad_fpga_i[24],in,,
LEFT,,,,gfpga_pad_GPIN_PAD[25],pad_fpga_i[25],in,,
LEFT,,,,gfpga_pad_GPIN_PAD[26],pad_fpga_i[26],in,,
LEFT,,,,gfpga_pad_GPIN_PAD[27],pad_fpga_i[27],in,,
LEFT,,,,gfpga_pad_GPIN_PDL_PAD[3],pad_fpga_di[3],in,,
BOTTOM,,,,gfpga_pad_GPIN_PAD[14],pad_fpga_i[14],in,,
BOTTOM,,,,gfpga_pad_GPIN_PAD[15],pad_fpga_i[15],in,,
BOTTOM,,,,gfpga_pad_GPIN_PAD[16],pad_fpga_i[16],in,,
BOTTOM,,,,gfpga_pad_GPIN_PAD[17],pad_fpga_i[17],in,,
BOTTOM,,,,gfpga_pad_GPIN_PAD[18],pad_fpga_i[18],in,,
BOTTOM,,,,gfpga_pad_GPIN_PAD[19],pad_fpga_i[19],in,,
BOTTOM,,,,gfpga_pad_GPIN_PAD[20],pad_fpga_i[20],in,,
BOTTOM,,,,gfpga_pad_GPIN_PDL_PAD[2],pad_fpga_di[2],in,,
TOP,,,,gfpga_pad_GPIN_PAD[0],pad_fpga_i[0],in,,
TOP,,,,gfpga_pad_GPIN_PAD[1],pad_fpga_i[1],in,,
TOP,,,,gfpga_pad_GPIN_PAD[2],pad_fpga_i[2],in,,
TOP,,,,gfpga_pad_GPIN_PAD[3],pad_fpga_i[3],in,,
TOP,,,,gfpga_pad_GPIN_PAD[4],pad_fpga_i[4],in,,
TOP,,,,gfpga_pad_GPIN_PAD[5],pad_fpga_i[5],in,,
TOP,,,,gfpga_pad_GPIN_PAD[6],pad_fpga_i[6],in,,
TOP,,,,gfpga_pad_GPIN_PDL_PAD[0],pad_fpga_di[0],in,,
BOTTOM,,,,gfpga_pad_GPOUT_PAD[14],pad_fpga_o[14],out,,
BOTTOM,,,,gfpga_pad_GPOUT_PAD[15],pad_fpga_o[15],out,,
BOTTOM,,,,gfpga_pad_GPOUT_PAD[16],pad_fpga_o[16],out,,
BOTTOM,,,,gfpga_pad_GPOUT_PAD[17],pad_fpga_o[17],out,,
BOTTOM,,,,gfpga_pad_GPOUT_PAD[18],pad_fpga_o[18],out,,
BOTTOM,,,,gfpga_pad_GPOUT_PAD[19],pad_fpga_o[19],out,,
BOTTOM,,,,gfpga_pad_GPOUT_PAD[20],pad_fpga_o[20],out,,
BOTTOM,,,,gfpga_pad_GPOUT_EMODE_PAD[2],pad_fpga_eo[2],out,,
TOP,,,,gfpga_pad_GPOUT_PAD[0],pad_fpga_o[0],out,,
TOP,,,,gfpga_pad_GPOUT_PAD[1],pad_fpga_o[1],out,,
TOP,,,,gfpga_pad_GPOUT_PAD[2],pad_fpga_o[2],out,,
TOP,,,,gfpga_pad_GPOUT_PAD[3],pad_fpga_o[3],out,,
TOP,,,,gfpga_pad_GPOUT_PAD[4],pad_fpga_o[4],out,,
TOP,,,,gfpga_pad_GPOUT_PAD[5],pad_fpga_o[5],out,,
TOP,,,,gfpga_pad_GPOUT_PAD[6],pad_fpga_o[6],out,,
TOP,,,,gfpga_pad_GPOUT_EMODE_PAD[0],pad_fpga_eo[0],out,,
RIGHT,,,,gfpga_pad_GPOUT_PAD[7],pad_fpga_o[7],out,,
RIGHT,,,,gfpga_pad_GPOUT_PAD[8],pad_fpga_o[8],out,,
RIGHT,,,,gfpga_pad_GPOUT_PAD[9],pad_fpga_o[9],out,,
RIGHT,,,,gfpga_pad_GPOUT_PAD[10],pad_fpga_o[10],out,,
RIGHT,,,,gfpga_pad_GPOUT_PAD[11],pad_fpga_o[11],out,,
RIGHT,,,,gfpga_pad_GPOUT_PAD[12],pad_fpga_o[12],out,,
RIGHT,,,,gfpga_pad_GPOUT_PAD[13],pad_fpga_o[13],out,,
RIGHT,,,,gfpga_pad_GPOUT_EMODE_PAD[1],pad_fpga_eo[1],out,,
