orientation,row,col,pin_num_in_cell,port_name,mapped_pin,GPIO_type,Associated Clock,Clock Edge
LEFT,,,,gfpga_pad_GPOUT_EMODE_PAD[24],pad_fpga_o[24],out,,
LEFT,,,,gfpga_pad_GPOUT_EMODE_PAD[25],pad_fpga_o[25],out,,
LEFT,,,,gfpga_pad_GPOUT_EMODE_PAD[26],pad_fpga_o[26],out,,
LEFT,,,,gfpga_pad_GPOUT_EMODE_PAD[27],pad_fpga_o[27],out,,
LEFT,,,,gfpga_pad_GPOUT_EMODE_PAD[28],pad_fpga_o[28],out,,
LEFT,,,,gfpga_pad_GPOUT_EMODE_PAD[29],pad_fpga_o[29],out,,
LEFT,,,,gfpga_pad_GPOUT_EMODE_PAD[30],pad_fpga_o[30],out,,
LEFT,,,,gfpga_pad_GPOUT_EMODE_PAD[31],pad_fpga_o[31],out,,
LEFT,,,,gfpga_pad_GPIN_PDL_PAD[24],pad_fpga_i[24],in,,
LEFT,,,,gfpga_pad_GPIN_PDL_PAD[25],pad_fpga_i[25],in,,
LEFT,,,,gfpga_pad_GPIN_PDL_PAD[26],pad_fpga_i[26],in,,
LEFT,,,,gfpga_pad_GPIN_PDL_PAD[27],pad_fpga_i[27],in,,
LEFT,,,,gfpga_pad_GPIN_PDL_PAD[28],pad_fpga_i[28],in,,
LEFT,,,,gfpga_pad_GPIN_PDL_PAD[29],pad_fpga_i[29],in,,
LEFT,,,,gfpga_pad_GPIN_PDL_PAD[30],pad_fpga_i[30],in,,
LEFT,,,,gfpga_pad_GPIN_PDL_PAD[31],pad_fpga_i[31],in,,
BOTTOM,,,,gfpga_pad_GPIN_PDL_PAD[16],pad_fpga_i[16],in,,
BOTTOM,,,,gfpga_pad_GPIN_PDL_PAD[17],pad_fpga_i[17],in,,
BOTTOM,,,,gfpga_pad_GPIN_PDL_PAD[18],pad_fpga_i[18],in,,
BOTTOM,,,,gfpga_pad_GPIN_PDL_PAD[19],pad_fpga_i[19],in,,
BOTTOM,,,,gfpga_pad_GPIN_PDL_PAD[20],pad_fpga_i[20],in,,
BOTTOM,,,,gfpga_pad_GPIN_PDL_PAD[21],pad_fpga_i[21],in,,
BOTTOM,,,,gfpga_pad_GPIN_PDL_PAD[22],pad_fpga_i[22],in,,
BOTTOM,,,,gfpga_pad_GPIN_PDL_PAD[23],pad_fpga_i[23],in,,
TOP,,,,gfpga_pad_GPIN_PDL_PAD[0],pad_fpga_i[0],in,,
TOP,,,,gfpga_pad_GPIN_PDL_PAD[1],pad_fpga_i[1],in,,
TOP,,,,gfpga_pad_GPIN_PDL_PAD[2],pad_fpga_i[2],in,,
TOP,,,,gfpga_pad_GPIN_PDL_PAD[3],pad_fpga_i[3],in,,
TOP,,,,gfpga_pad_GPIN_PDL_PAD[4],pad_fpga_i[4],in,,
TOP,,,,gfpga_pad_GPIN_PDL_PAD[5],pad_fpga_i[5],in,,
TOP,,,,gfpga_pad_GPIN_PDL_PAD[6],pad_fpga_i[6],in,,
TOP,,,,gfpga_pad_GPIN_PDL_PAD[7],pad_fpga_i[7],in,,
BOTTOM,,,,gfpga_pad_GPOUT_EMODE_PAD[16],pad_fpga_o[16],out,,
BOTTOM,,,,gfpga_pad_GPOUT_EMODE_PAD[17],pad_fpga_o[17],out,,
BOTTOM,,,,gfpga_pad_GPOUT_EMODE_PAD[18],pad_fpga_o[18],out,,
BOTTOM,,,,gfpga_pad_GPOUT_EMODE_PAD[19],pad_fpga_o[19],out,,
BOTTOM,,,,gfpga_pad_GPOUT_EMODE_PAD[20],pad_fpga_o[20],out,,
BOTTOM,,,,gfpga_pad_GPOUT_EMODE_PAD[21],pad_fpga_o[21],out,,
BOTTOM,,,,gfpga_pad_GPOUT_EMODE_PAD[22],pad_fpga_o[22],out,,
BOTTOM,,,,gfpga_pad_GPOUT_EMODE_PAD[23],pad_fpga_o[23],out,,
TOP,,,,gfpga_pad_GPOUT_EMODE_PAD[0],pad_fpga_o[0],out,,
